City_ID,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,WindSpeed
0,kapaa,40,US,1584239847,61,22.08,-159.32,78.8,13.87
1,ushuaia,40,AR,1584239637,62,-54.8,-68.3,53.6,8.05
2,waingapu,28,ID,1584239682,72,-9.66,120.26,83.39,6.22
3,thompson,20,CA,1584239734,52,55.74,-97.86,-7.6,4.74
4,nouadhibou,0,MR,1584239608,82,20.93,-17.03,64.4,14.99
5,trebukhiv,20,UA,1584239853,68,50.48,30.9,28.99,13.42
6,coquimbo,0,CL,1584239529,93,-29.95,-71.34,60.8,2.24
7,albany,1,US,1584239855,77,42.6,-73.97,39.99,9.17
8,yellowknife,90,CA,1584239856,66,62.46,-114.35,10.4,8.05
9,klaksvik,100,FO,1584239857,64,62.23,-6.59,35.6,32.21
10,ambilobe,100,MG,1584239858,89,-13.2,49.05,79.29,12.03
11,bluff,100,NZ,1584239980,69,-46.6,168.33,66.0,1.99
12,hermanus,100,ZA,1584239981,80,-34.42,19.23,64.0,8.99
13,ponta do sol,75,PT,1584239982,63,32.67,-17.1,60.8,13.87
14,qui nhon,100,VN,1584239983,57,13.77,109.23,84.74,6.67
15,timbiqui,100,CO,1584240037,92,2.77,-77.67,73.99,1.41
16,bredasdorp,100,ZA,1584240035,88,-34.53,20.04,64.4,4.7
17,punta arenas,99,CL,1584240037,76,-53.15,-70.92,55.4,20.8
18,mataura,100,NZ,1584240031,71,-46.19,168.86,66.0,3.0
19,busselton,28,AU,1584240033,94,-33.65,115.33,80.01,16.26
20,talcahuano,0,CL,1584240042,72,-36.72,-73.12,59.0,11.41
21,katobu,77,ID,1584240044,70,-4.94,122.53,87.62,0.67
22,puerto ayora,4,EC,1584240040,71,-0.74,-90.35,81.0,8.01
23,constitucion,0,CL,1584240047,62,-35.33,-72.42,56.01,5.28
24,kang,0,BW,1584240048,55,-23.68,22.79,69.89,2.53
25,olafsvik,98,IS,1584239765,64,64.89,-23.71,26.78,14.7
26,cairns,40,AU,1584239763,55,-16.92,145.77,90.0,9.17
27,cape town,40,ZA,1584240034,72,-33.93,18.42,66.0,17.22
28,van wert,90,US,1584240052,87,40.87,-84.58,33.01,6.93
29,bethel,90,US,1584240038,48,41.37,-73.41,48.2,5.82
30,castro,0,BR,1584240041,92,-24.79,-50.01,61.39,4.52
31,kaiserslautern,40,DE,1584239798,100,49.45,7.75,43.0,3.6
32,belmonte,40,BR,1584240060,74,-15.86,-38.88,80.6,6.93
33,ribeira grande,26,PT,1584240035,84,38.52,-28.7,55.63,4.79
34,manggar,46,ID,1584239845,69,-2.88,108.27,82.94,3.89
35,hilo,90,US,1584239999,74,19.73,-155.09,78.8,5.82
36,guapiacu,0,BR,1584239899,58,-20.8,-49.22,82.4,8.05
37,jamestown,90,US,1584239967,86,42.1,-79.24,35.6,8.05
38,cherskiy,100,RU,1584240055,93,68.75,161.3,7.27,5.21
39,okha,100,RU,1584240054,81,53.57,142.95,12.81,4.36
40,saint-joseph,33,RE,1584240069,69,-21.37,55.62,73.4,6.93
41,abha,5,SA,1584240070,82,18.22,42.51,59.0,13.87
42,hofn,99,IS,1584240071,65,64.25,-15.21,30.13,15.12
43,volda,100,NO,1584240072,91,62.15,6.07,42.8,14.99
44,kodiak,40,US,1584240052,55,57.79,-152.41,39.2,4.7
45,port alfred,62,ZA,1584239999,86,-33.59,26.89,68.0,5.01
46,carnarvon,75,AU,1584240046,65,-24.87,113.63,82.4,9.17
47,clyde river,1,CA,1584240077,73,70.47,-68.59,-29.2,5.82
48,nadvoitsy,0,RU,1584240078,93,63.87,34.32,5.13,4.34
49,praia da vitoria,20,PT,1584240079,93,38.73,-27.07,55.4,3.85
50,naze,75,JP,1584239847,42,28.37,129.48,62.6,17.22
51,taybad,96,IR,1584240082,21,34.74,60.78,61.07,18.32
52,sitka,1,US,1584240072,60,57.05,-135.33,41.0,3.36
53,chapais,90,CA,1584239789,78,49.78,-74.85,12.2,10.29
54,machico,75,PT,1584240087,63,32.7,-16.77,60.8,13.87
55,port blair,32,IN,1584240056,68,11.67,92.75,83.03,6.24
56,talnakh,100,RU,1584240089,95,69.49,88.4,14.45,10.31
57,nyurba,87,RU,1584240091,94,63.28,118.33,20.41,4.61
58,mahina,40,PF,1584240093,66,-17.51,-149.49,87.8,11.41
59,nantucket,1,US,1584240095,52,41.28,-70.1,46.99,11.41
60,porto novo,40,BJ,1584239811,83,6.5,2.6,82.4,10.29
61,vigrestad,90,NO,1584240097,93,58.57,5.7,44.6,26.4
62,hithadhoo,74,MV,1584240033,63,-0.6,73.08,83.25,5.37
63,victor harbor,1,AU,1584239874,37,-35.57,138.62,70.0,5.82
64,avarua,8,CK,1584239749,70,-21.21,-159.78,84.2,6.93
65,lata,0,PT,1584239526,90,40.16,-8.33,54.0,1.99
66,boende,2,CD,1584240104,78,-0.22,20.87,73.51,2.42
67,nikolskoye,55,RU,1584240067,53,59.7,30.79,23.0,11.18
68,kruisfontein,10,ZA,1584240036,84,-34.0,24.73,62.2,8.63
69,bagotville,90,AU,1584240108,83,-28.98,153.42,71.6,18.34
70,trairi,100,BR,1584240110,96,-3.28,-39.27,73.83,2.89
71,hirara,20,JP,1584239945,45,24.8,125.28,66.2,12.75
72,mazagao,75,BR,1584240113,100,-0.12,-51.29,78.8,8.05
73,lebu,0,CL,1584239741,76,-37.62,-73.65,53.38,8.03
74,saskylakh,100,RU,1584240040,92,71.92,114.08,5.95,12.01
75,tual,50,ID,1584240117,79,-5.67,132.75,81.18,14.16
76,kavieng,99,PG,1584240034,64,-2.57,150.8,85.37,5.23
77,luderitz,0,NA,1584240119,77,-26.65,15.16,64.4,4.7
78,severo-kurilsk,100,RU,1584240062,80,50.68,156.12,21.76,9.4
79,inhambane,3,MZ,1584240041,80,-23.86,35.38,76.75,1.95
80,tamiahua,33,MX,1584240123,91,21.27,-97.45,74.5,9.6
81,beringovskiy,85,RU,1584240124,91,63.05,179.32,22.42,8.55
82,ancud,16,CL,1584240125,93,-41.87,-73.82,46.4,4.7
83,namatanai,100,PG,1584240036,72,-3.67,152.43,84.18,10.42
84,rikitea,3,PF,1584240034,70,-23.12,-134.97,79.07,9.08
85,marsh harbour,60,BS,1584240128,81,26.54,-77.06,73.36,10.25
86,hobart,40,AU,1584239899,59,-42.88,147.33,63.0,14.99
87,bengkulu,100,ID,1584240049,57,-3.8,102.27,88.72,0.67
88,tucumcari,1,US,1584240132,58,35.17,-103.72,53.6,8.05
89,totness,34,SR,1584240133,78,5.88,-56.32,79.7,16.93
90,odweyne,0,SO,1584240134,85,9.41,45.06,63.3,6.13
91,esperance,100,AU,1584240038,57,-33.87,121.9,75.2,20.8
92,kihei,40,US,1584239901,78,20.79,-156.47,78.8,11.41
93,mae chan,20,TH,1584240137,73,20.15,99.85,75.0,0.69
94,strezhevoy,75,RU,1584240138,94,60.73,77.59,35.6,13.42
95,alofi,100,NU,1584240139,74,-19.06,-169.92,86.0,8.05
96,mahebourg,40,MU,1584240142,94,-20.41,57.7,75.2,7.81
97,benguela,100,AO,1584240143,84,-12.58,13.41,78.58,3.62
98,komsomolskiy,0,UZ,1584240034,38,40.43,71.72,46.4,6.93
99,vaini,75,TO,1584240048,83,-21.2,-175.2,84.2,14.99
100,chicama,40,PE,1584240146,83,-7.84,-79.15,73.4,8.05
101,batabano,40,CU,1584240147,78,22.72,-82.29,75.2,9.17
102,zhigansk,100,RU,1584240149,94,66.77,123.37,-3.84,23.09
103,kathu,20,TH,1584240150,62,7.92,98.33,86.0,8.05
104,upernavik,90,GL,1584239754,99,72.79,-56.15,-14.69,2.39
105,shache,0,CN,1584240153,91,38.42,77.24,42.01,0.4
106,meulaboh,50,ID,1584240037,75,4.14,96.13,82.58,4.61
107,bang saphan,40,TH,1584240155,66,11.21,99.51,89.6,8.05
108,nuqui,66,CO,1584240156,86,5.71,-77.27,76.59,3.31
109,kaitangata,100,NZ,1584240139,74,-46.28,169.85,62.01,3.0
110,atuona,28,PF,1584240032,67,-9.8,-139.03,82.47,8.03
111,bambous virieux,40,MU,1584240039,94,-20.34,57.76,75.2,13.02
112,tiksi,54,RU,1584240034,73,71.69,128.87,-10.35,6.08
113,kahului,40,US,1584239980,78,20.89,-156.47,78.8,11.41
114,tasiilaq,2,GL,1584240032,70,65.61,-37.64,1.4,1.12
115,torbay,75,CA,1584240165,85,47.67,-52.73,34.0,24.16
116,manjacaze,0,MZ,1584240104,97,-24.71,33.88,69.55,1.86
117,saint-philippe,48,RE,1584240041,69,-21.36,55.77,73.4,6.93
118,plastun,94,RU,1584240168,72,44.76,136.29,29.16,6.8
119,rawson,0,AR,1584240043,65,-43.3,-65.1,60.96,7.63
120,alekseyevsk,100,RU,1584240171,96,57.84,108.35,30.81,9.82
121,marzuq,0,YE,1584240172,67,14.4,46.47,62.26,4.07
122,sadao,40,TH,1584240173,70,6.64,100.42,87.8,8.05
123,banda aceh,23,ID,1584240174,62,5.56,95.32,85.44,5.73
124,makuyuni,99,TZ,1584240175,92,-4.73,38.1,68.59,3.18
125,luzhou,100,CN,1584240176,55,28.87,105.44,63.36,3.13
126,dudinka,100,RU,1584240177,93,69.41,86.18,4.17,14.83
127,khatanga,100,RU,1584240040,96,71.97,102.5,27.61,13.22
128,arraial do cabo,16,BR,1584240047,88,-22.97,-42.03,78.28,12.3
129,airai,49,TL,1584240037,50,-8.93,125.41,81.63,5.53
130,port elizabeth,79,ZA,1584239999,77,-33.92,25.57,68.0,12.75
131,leningradskiy,95,RU,1584240065,76,69.38,178.42,6.15,13.69
132,kununurra,0,AU,1584240185,30,-15.77,128.73,95.0,14.99
133,batemans bay,33,AU,1584240186,51,-35.72,150.18,66.99,4.0
134,victoria point,40,AU,1584240187,50,-27.58,153.3,82.99,18.34
135,daugai,0,LT,1584240188,73,54.37,24.33,23.0,5.82
136,barrow,20,US,1584240059,70,71.29,-156.79,1.4,23.04
137,povorino,9,RU,1584240192,86,51.19,42.25,34.0,13.44
138,sorland,90,NO,1584240193,68,67.67,12.69,36.54,15.46
139,abalak,63,RU,1584240195,93,58.13,68.59,30.6,6.42
140,asyut,0,EG,1584240177,76,27.18,31.18,58.59,5.28
141,znamenskoye,100,RU,1584240197,91,57.13,73.83,31.26,9.31
142,east london,88,ZA,1584240034,82,-33.02,27.91,70.57,14.9
143,bonavista,46,CA,1584240131,82,48.65,-53.11,33.01,18.99
144,auki,95,SB,1584240203,76,-8.77,160.7,84.34,13.42
145,lavrentiya,100,RU,1584240204,79,65.58,-171.0,21.02,10.56
146,curup,92,ID,1584240205,61,-3.47,102.53,82.13,3.02
147,ojinaga,1,MX,1584240206,34,29.57,-104.42,78.8,9.17
148,dikson,67,RU,1584240037,99,73.51,80.55,-17.95,6.22
149,oksfjord,98,NO,1584240208,92,70.24,22.35,28.4,19.46
150,la ronge,75,CA,1584239965,65,55.1,-105.28,3.2,3.36
151,motala,81,SE,1584240211,64,58.54,15.04,32.0,14.99
152,bayir,100,TR,1584240212,93,37.27,28.22,46.4,1.12
153,mullingar,75,IE,1584240213,81,53.53,-7.35,44.6,20.8
154,flin flon,100,CA,1584240214,94,54.77,-101.86,1.6,3.15
155,saint george,1,US,1584240216,54,37.1,-113.58,59.0,11.41
156,vestmannaeyjar,0,IS,1584240217,66,63.44,-20.27,26.46,17.45
157,lorengau,99,PG,1584240062,74,-2.02,147.27,84.74,11.48
158,fairbanks,90,US,1584240003,62,64.84,-147.72,27.0,5.82
159,kalabo,100,ZM,1584240221,94,-14.97,22.68,68.36,3.74
160,dewsbury,75,GB,1584240222,87,53.69,-1.63,51.8,18.34
161,cateel,90,PH,1584240223,63,7.79,126.45,82.56,9.82
162,mosquera,75,CO,1584240181,87,4.71,-74.23,57.2,6.93
163,butaritari,0,KI,1584240053,74,3.07,172.79,83.88,11.79
164,vila,4,PT,1584240226,93,42.03,-8.16,51.01,2.24
165,curanilahue,0,CL,1584240228,76,-37.47,-73.35,53.38,8.03
166,katsuyama,20,JP,1584240229,34,36.06,136.5,51.8,13.87
167,rio grande,43,BR,1584240163,96,-32.03,-52.1,73.0,5.77
168,victoria,42,HK,1584240058,56,22.29,114.16,73.99,8.05
169,san patricio,75,MX,1584240060,83,19.22,-104.7,80.6,3.89
170,coro,2,VE,1584240233,86,11.4,-69.67,75.06,8.57
171,oranjestad,20,AW,1584240234,74,12.52,-70.03,80.6,12.75
172,clarence town,40,AU,1584240055,60,-32.58,151.78,73.0,19.46
173,arauco,0,CL,1584240236,72,-37.25,-73.32,59.0,11.41
174,hamilton,90,US,1584240050,93,39.18,-84.53,35.6,9.17
175,fastiv,75,UA,1584240239,63,50.08,29.92,28.99,15.66
176,fortuna,40,US,1584240051,86,40.6,-124.16,45.0,11.41
177,panaba,0,MX,1584240241,67,21.28,-88.27,77.52,10.33
178,lompoc,90,US,1584240242,81,34.64,-120.46,55.4,4.7
179,camana,65,PE,1584240243,84,-16.62,-72.71,66.76,2.89
180,whithorn,20,JM,1584240245,74,18.26,-78.04,78.8,2.24
181,pelaya,38,CO,1584240246,77,8.69,-73.66,71.1,5.66
182,richards bay,54,ZA,1584240064,85,-28.78,32.04,77.85,10.98
183,dumai,32,ID,1584240249,83,1.68,101.45,82.36,4.05
184,dekar,32,BW,1584240250,60,-21.53,21.93,71.2,1.95
185,port lincoln,6,AU,1584240065,59,-34.73,135.87,65.3,14.88
186,batagay,28,RU,1584240252,77,67.63,134.63,-11.63,2.51
187,qaanaaq,34,GL,1584239741,58,77.48,-69.36,-20.22,6.4
188,sao joao de pirabas,100,BR,1584240254,96,-0.77,-47.18,74.71,1.1
189,bathsheba,75,BB,1584240255,78,13.22,-59.52,78.8,9.17
190,lagos,20,NG,1584240058,94,6.58,3.75,80.6,2.24
191,bilibino,100,RU,1584240258,85,68.05,166.44,2.97,6.11
192,payson,75,US,1584240259,50,40.04,-111.73,53.6,17.22
193,port hardy,5,CA,1584239976,29,50.7,-127.42,39.2,19.46
194,mount gambier,90,AU,1584240034,48,-37.83,140.77,66.2,12.75
195,roald,100,NO,1584240054,66,62.58,6.13,44.6,14.99
196,hay river,75,CA,1584240264,40,60.82,-115.8,15.8,9.17
197,santiago del estero,100,AR,1584240265,87,-27.8,-64.26,73.67,14.03
198,vila velha,40,BR,1584239972,94,-20.33,-40.29,75.2,2.24
199,dingle,3,PH,1584240050,53,11.0,122.67,85.03,9.04
200,chuguyevka,100,RU,1584240269,76,44.17,133.86,29.23,6.67
201,solnechnyy,13,RU,1584240270,62,50.72,136.63,18.28,4.54
202,thinadhoo,90,MV,1584240109,61,0.53,72.93,83.5,4.65
203,harper,100,LR,1584240040,95,4.38,-7.72,77.49,2.77
204,barstow,90,US,1584240048,66,34.9,-117.02,60.8,13.87
205,acari,89,PE,1584240274,89,-15.43,-74.62,66.67,2.66
206,ixtapa,5,MX,1584240275,83,20.7,-105.2,75.2,5.82
207,mirador,100,BR,1584240276,94,-6.37,-44.36,72.37,2.59
208,erenhot,0,CN,1584240278,42,43.65,111.98,38.44,5.21
209,stabat,20,ID,1584240279,62,3.76,98.45,87.8,12.75
210,adeje,40,ES,1584240280,63,28.12,-16.73,64.99,4.7
211,viedma,0,AR,1584240281,64,-40.81,-63.0,55.98,1.79
212,uyovu,99,TZ,1584240282,96,-3.28,31.53,63.09,0.67
213,gat,40,IL,1584240283,93,31.61,34.76,57.2,4.7
214,longyearbyen,90,SJ,1584240059,77,78.22,15.64,-2.2,5.82
215,new norfolk,40,AU,1584240053,59,-42.78,147.06,63.0,14.99
216,colchester,75,GB,1584240107,87,51.89,0.9,50.0,18.34
217,hasaki,40,JP,1584240288,45,35.73,140.83,52.0,5.82
218,gulabpura,7,IN,1584240018,33,25.9,74.67,64.22,2.37
219,katsuura,75,JP,1584240066,42,35.13,140.3,51.01,6.93
220,chokurdakh,33,RU,1584240043,88,70.63,147.92,-15.93,1.48
221,chuy,100,UY,1584240052,92,-33.7,-53.46,68.94,12.41
222,cabo san lucas,40,MX,1584240043,64,22.89,-109.91,71.01,7.7
223,codrington,66,AU,1584240049,71,-38.27,141.97,59.13,15.48
224,turayf,75,SA,1584240295,100,31.67,38.66,51.8,9.17
225,yulara,0,AU,1584240087,18,-25.24,130.99,89.6,13.87
226,san quintin,69,MX,1584240120,76,30.48,-115.95,59.83,9.78
227,port macquarie,47,AU,1584240299,88,-31.43,152.92,70.0,6.93
228,lasa,5,IT,1584240300,85,46.62,10.7,41.0,3.36
229,turukhansk,100,RU,1584240117,97,65.82,87.98,30.96,10.94
230,san cristobal,40,VE,1584240302,78,7.77,-72.22,78.8,2.24
231,maniitsoq,34,GL,1584240303,77,65.42,-52.9,0.3,9.95
232,half moon bay,90,US,1584240135,81,37.46,-122.43,52.0,6.93
233,okakarara,40,NA,1584240305,40,-20.58,17.43,68.61,4.09
234,brigantine,90,US,1584240307,43,39.41,-74.36,52.0,9.17
235,sholokhove,27,UA,1584240308,59,47.69,34.03,34.66,7.29
236,balkhash,0,KZ,1584240056,86,46.84,74.98,30.2,15.66
237,riyadh,46,SA,1584240186,48,24.69,46.72,64.4,4.7
238,bugaan,40,PH,1584240311,70,14.04,120.94,89.01,6.93
239,muroto,75,JP,1584240312,46,33.28,134.15,53.6,13.87
240,labrea,100,BR,1584240313,91,-7.26,-64.8,76.51,3.51
241,ponta delgada,20,PT,1584240314,82,37.73,-25.67,55.4,8.05
242,nouakchott,40,MR,1584240315,88,18.09,-15.98,68.0,3.36
243,bandarbeyla,98,SO,1584240317,76,9.49,50.81,78.96,8.34
244,voloshka,91,RU,1584240318,94,61.33,40.09,16.09,6.4
245,narsaq,100,GL,1584240056,62,60.92,-46.05,21.2,4.32
246,neuquen,0,AR,1584240090,16,-38.95,-68.06,62.44,6.46
247,vila franca do campo,20,PT,1584240054,82,37.72,-25.43,55.4,8.05
248,saint-pierre,33,RE,1584240323,69,-21.34,55.48,73.4,6.93
249,korla,100,CN,1584240324,29,41.76,86.15,36.01,3.49
250,pasighat,100,IN,1584240326,77,28.07,95.33,69.44,3.31
251,luganville,100,VU,1584240327,73,-15.53,167.17,83.05,9.01
252,taoudenni,0,ML,1584240232,12,22.68,-3.98,69.71,6.4
253,sterling,90,US,1584240160,86,39.01,-77.43,46.0,9.17
254,povolzhskiy,40,RU,1584240331,94,53.59,49.76,32.0,6.71
255,puerto del rosario,0,ES,1584240332,77,28.5,-13.86,60.8,5.82
256,muli,36,MV,1584240333,67,2.92,73.57,84.29,6.06
257,san rafael,0,AR,1584240335,29,-34.62,-68.33,57.61,2.44
258,cidreira,0,BR,1584240045,89,-30.18,-50.21,76.06,23.31
259,tokur,0,RU,1584240337,77,53.13,132.9,13.24,3.18
260,broome,75,US,1584240338,69,42.25,-75.83,37.0,6.93
261,teguise,16,ES,1584240339,82,29.06,-13.56,59.0,4.7
262,dungarpur,84,IN,1584240340,30,23.83,73.72,65.68,10.92
263,jinxiang,0,CN,1584240342,48,22.86,115.7,70.0,1.01
264,necochea,0,AR,1584240054,79,-38.55,-58.74,63.0,5.99
265,tuktoyaktuk,40,CA,1584240053,92,69.45,-133.04,23.0,32.21
266,mangrol,32,IN,1584240347,42,21.12,70.12,76.06,20.62
267,sioux lookout,20,CA,1584239888,36,50.1,-91.92,15.8,3.36
268,coihaique,5,CL,1584240349,71,-45.58,-72.07,53.6,2.24
269,tongliao,0,CN,1584240350,27,43.61,122.27,25.11,20.62
270,boa vista,20,BR,1584240351,52,2.82,-60.67,87.8,8.05
271,osinki,3,RU,1584240353,93,52.84,49.51,31.26,7.65
272,tateyama,75,JP,1584240263,57,34.98,139.87,50.0,6.93
273,saldanha,13,ZA,1584240062,77,-33.01,17.94,62.6,16.11
274,sao filipe,0,CV,1584239792,57,14.9,-24.5,73.15,13.91
